2017-10-24 sh75.csv,,amir,24/10/2017 15:18:19,GENESYS 10S,2L7M233003,2.001
nm,A
200,.9075
202,.7997
204,.7342
206,.6792
208,.619
210,.5573
212,.4905
214,.4219
216,.3548
218,.2928
220,.2328
222,.1819
224,.1307
226,.0929
228,.072
230,.0591
232,.0442
234,.03
236,.02
238,.0139
240,.0102
242,.008
244,.0059
246,.0051
248,.0034
250,.0026
252,.0023
254,.0017
256,.0014
258,.0014
260,.0008
262,-.0002
264,-.0001
266,.0001
268,-.0001
270,.0001
272,.0002
274,-.0004
276,0
278,.0002
280,0
282,.0003
284,-.0002
286,-.0001
288,-.0002
290,.0001
292,.0002
294,-.0002
296,.0002
298,.0002
300,0
302,-.0001
304,-.0001
306,-.0002
308,-.0002
310,-.0004
312,-.0006
314,-.0003
316,-.0006
318,-.0006
320,-.0007
322,-.0006
324,-.0006
326,-.0008
328,-.0018
330,-.0012
332,-.0012
334,-.001
336,-.0014
338,-.0014
340,-.0011
342,-.0015
344,-.0015
346,-.0017
348,-.0016
350,-.0013
352,-.0013
354,-.0008
356,-.0006
358,-.0008
360,-.0006
362,-.0008
364,-.001
366,-.0014
368,-.0014
370,-.002
372,-.0017
374,-.0011
376,-.0013
378,-.0009
380,-.0014
382,-.0012
384,-.0008
386,-.0009
388,-.001
390,-.001
392,-.0008
394,-.0008
396,-.0011
398,-.0011
400,-.0006
402,-.0008
404,-.0009
406,-.0009
408,-.0007
410,-.0008
412,-.0007
414,-.0005
416,-.0007
418,-.0007
420,-.0004
422,-.0008
424,-.0006
426,-.0009
428,-.0008
430,-.0007
432,-.0006
434,-.0008
436,-.0007
438,-.001
440,-.0009
442,-.0013
444,-.0004
446,-.0005
448,-.0003
450,-.0003
452,-.0005
454,-.0006
456,-.0005
458,-.0001
460,-.0005
462,-.0005
464,-.0004
466,-.0006
468,-.0004
470,-.0004
472,.0003
474,-.0004
476,0
478,-.0001
480,-.0004
482,-.0001
484,-.0005
486,-.0007
488,-.0003
490,-.0002
492,-.0006
494,-.0003
496,-.0002
498,-.0001
500,-.0004
502,-.0004
504,.0001
506,-.0006
508,-.0006
510,-.0004
512,-.0002
514,0
516,0
518,.0001
520,-.0003
522,-.0005
524,.0001
526,0
528,.0001
530,-.0003
532,0
534,.0002
536,-.0005
538,0
540,.0003
542,-.0001
544,-.0003
546,0
548,-.0005
550,-.0006
552,-.0001
554,-.0004
556,-.0006
558,-.0002
560,-.0002
562,0
564,.0002
566,-.0007
568,-.0001
570,-.0004
572,-.0001
574,-.0002
576,-.0005
578,0
580,-.0005
582,-.0002
584,-.0001
586,-.0002
588,-.0003
590,0
592,.0006
594,.0001
596,.0002
598,-.0008
600,-.0002
602,0
604,-.0001
606,.0002
608,.0003
610,-.0002
612,-.0005
614,.0001
616,.0001
618,.0009
620,.0002
622,.0008
624,.0013
626,.0006
628,.0001
630,.0015
632,.0007
634,.0007
636,.0008
638,.0007
640,.0006
642,.0005
644,.001
646,.0006
648,.0016
650,.0007
652,.0004
654,.0011
656,.0008
658,.0005
660,.0006
662,.0004
664,.0012
666,.0018
668,.0005
670,.0009
672,.001
674,.0007
676,.0003
678,.0005
680,.001
682,.0015
684,.0001
686,.0005
688,.0004
690,.0004
692,-.0001
694,.0011
696,.0005
698,.0008
700,.0004
702,.0003
704,.0012
706,.0004
708,.0011
710,.0011
712,.0013
714,.0018
716,.0008
718,.0014
720,.0007
722,.0007
724,.0004
726,.0016
728,.0009
730,.0015
732,-.0002
734,.0017
736,.0012
738,.002
740,.0014
742,.0007
744,.0015
746,.0009
748,.0017
750,.0014
752,.0009
754,.001
756,.0014
758,.0026
760,.0015
762,.001
764,.0019
766,0
768,.0012
770,-.0002
772,.0002
774,.0013
776,.0019
778,.0013
780,.0022
782,.0016
784,.0014
786,.002
788,.0016
790,.0026
792,.0006
794,.0012
796,.0006
798,.0015
800,.002
