dw.csv,,amir,14/11/2017 15:22:44,GENESYS 10S,2L7M233003,2.001
nm,A
200,-.0247
202,-.0283
204,-.0279
206,-.0309
208,-.0296
210,-.0322
212,-.0332
214,-.0334
216,-.0334
218,-.0345
220,-.0334
222,-.0363
224,-.0403
226,-.0392
228,-.0304
230,-.027
232,-.026
234,-.0266
236,-.0262
238,-.0301
240,-.0285
242,-.0254
244,-.0255
246,-.0233
248,-.0205
250,-.0209
252,-.0214
254,-.0227
256,-.027
258,-.0253
260,-.0205
262,-.0203
264,-.0231
266,-.0248
268,-.024
270,-.024
272,-.0248
274,-.0236
276,-.0242
278,-.0261
280,-.0265
282,-.0241
284,-.0247
286,-.0232
288,-.0248
290,-.0235
292,-.0249
294,-.0252
296,-.024
298,-.0219
300,-.0209
302,-.0217
304,-.0219
306,-.0216
308,-.0219
310,-.0205
312,-.02
314,-.02
316,-.0205
318,-.0194
320,-.0212
322,-.021
324,-.02
326,-.0183
328,-.0183
330,-.0187
332,-.0181
334,-.0178
336,-.0179
338,-.018
340,-.0182
342,-.0183
344,-.0184
346,-.0174
348,-.0181
350,-.0181
352,-.0188
354,-.0195
356,-.0191
358,-.0196
360,-.0187
362,-.017
364,-.0171
366,-.0168
368,-.0169
370,-.0168
372,-.0175
374,-.0181
376,-.0175
378,-.0169
380,-.0174
382,-.0177
384,-.0176
386,-.0175
388,-.0177
390,-.0175
392,-.0167
394,-.0162
396,-.0166
398,-.0161
400,-.017
402,-.0167
404,-.0166
406,-.0166
408,-.0166
410,-.0164
412,-.0162
414,-.017
416,-.017
418,-.0184
420,-.0174
422,-.0165
424,-.0156
426,-.0152
428,-.0151
430,-.0178
432,-.0177
434,-.0171
436,-.0174
438,-.0179
440,-.017
442,-.0169
444,-.0178
446,-.0167
448,-.0162
450,-.0167
452,-.0166
454,-.0165
456,-.0176
458,-.0166
460,-.0164
462,-.0154
464,-.0158
466,-.0156
468,-.0156
470,-.0155
472,-.0156
474,-.0156
476,-.0156
478,-.0164
480,-.019
482,-.0177
484,-.0166
486,-.0154
488,-.0154
490,-.0149
492,-.0141
494,-.0147
496,-.0144
498,-.0147
500,-.0145
502,-.0152
504,-.0149
506,-.0154
508,-.0151
510,-.0148
512,-.0144
514,-.0149
516,-.016
518,-.0146
520,-.0149
522,-.0151
524,-.0163
526,-.0166
528,-.0144
530,-.0143
532,-.0143
534,-.0145
536,-.014
538,-.0155
540,-.0149
542,-.0139
544,-.0138
546,-.0136
548,-.0132
550,-.0133
552,-.0142
554,-.0134
556,-.0129
558,-.0138
560,-.0137
562,-.0136
564,-.0142
566,-.0139
568,-.0143
570,-.014
572,-.0135
574,-.0132
576,-.0128
578,-.0125
580,-.0133
582,-.0127
584,-.0128
586,-.0128
588,-.0128
590,-.0131
592,-.0133
594,-.0135
596,-.0131
598,-.0127
600,-.0129
602,-.0142
604,-.0138
606,-.0136
608,-.0133
610,-.0125
612,-.012
614,-.0123
616,-.0124
618,-.0126
620,-.0126
622,-.0123
624,-.0128
626,-.0123
628,-.0125
630,-.0117
632,-.0123
634,-.0122
636,-.012
638,-.0109
640,-.013
642,-.0113
644,-.0122
646,-.0114
648,-.0115
650,-.0111
652,-.0114
654,-.0119
656,-.0115
658,-.0125
660,-.011
662,-.0107
664,-.0122
666,-.0115
668,-.0123
670,-.0121
672,-.0119
674,-.0119
676,-.0125
678,-.0121
680,-.0127
682,-.0113
684,-.0109
686,-.0118
688,-.0124
690,-.0111
692,-.0121
694,-.0119
696,-.0132
698,-.0131
700,-.0119
702,-.0111
704,-.0119
706,-.0127
708,-.0116
710,-.0119
712,-.0115
714,-.0113
716,-.0114
718,-.011
720,-.0115
722,-.0109
724,-.0112
726,-.0108
728,-.0109
730,-.0111
732,-.0113
734,-.0114
736,-.0107
738,-.0123
740,-.0105
742,-.0113
744,-.0115
746,-.0104
748,-.0102
750,-.0105
752,-.0109
754,-.0113
756,-.0114
758,-.0103
760,-.01
762,-.0104
764,-.0106
766,-.0101
768,-.0103
770,-.0101
772,-.0109
774,-.0109
776,-.0111
778,-.0103
780,-.0108
782,-.0114
784,-.0117
786,-.0127
788,-.0115
790,-.0104
792,-.0111
794,-.0112
796,-.0099
798,-.012
800,-.0106
