2018-1-22 AAI085.csv,,AMIR,24/01/2018 18:00:05,GENESYS 10S,2L7M233003,2.001
nm,A
200,1.5379
202,1.4949
204,1.4495
206,1.3884
208,1.2999
210,1.1943
212,1.064
214,.9201
216,.7765
218,.6383
220,.5058
222,.3952
224,.2793
226,.1954
228,.1495
230,.1229
232,.0902
234,.0584
236,.0369
238,.0233
240,.0142
242,.0105
244,.0073
246,.0053
248,.0043
250,.0036
252,.0033
254,.0027
256,.0027
258,.0026
260,.0028
262,.0027
264,.0032
266,.0029
268,.0031
270,.0035
272,.0033
274,.0035
276,.0037
278,.0039
280,.0034
282,.0038
284,.0038
286,.0038
288,.0039
290,.0038
292,.0039
294,.0038
296,.0037
298,.0036
300,.0036
302,.0035
304,.0035
306,.0032
308,.003
310,.0028
312,.0026
314,.0025
316,.0024
318,.0021
320,.0019
322,.0015
324,.0016
326,.0011
328,.0013
330,.0012
332,.0004
334,.0005
336,.0003
338,.0003
340,.0003
342,.0003
344,.0004
346,.0003
348,.0005
350,.0002
352,.0001
354,0
356,.0003
358,.0004
360,.0004
362,.0002
364,.0005
366,0
368,.0001
370,-.0003
372,.0003
374,0
376,-.0001
378,.0003
380,-.0002
382,.0004
384,.0001
386,.0004
388,.0002
390,.0004
392,.0002
394,.0002
396,.0001
398,.0002
400,-.0001
